"","SRR13535277","SRR13535279","SRR13535281","SRR13535283","SRR13535285","SRR13535287","SRR13535289","SRR13535291","SRR13535293","SRR13535295","SRR13535297","SRR13535299","SRR13535301","SRR13535303","SRR13535305","SRR13535307","SRR13535309","SRR13535311"
"mmu-miR-26a-1-3p",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-26a-2-3p",3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-26b-5p",328,2128,313,375,1649,640,1252,2132,219,2439,39,156,227,277,236,599,772,1821
"mmu-miR-26b-3p",2,36,0,40,18,11,32,50,17,38,1,7,0,0,6,0,0,172
"mmu-miR-27a-3p",1909,12911,1418,2609,8921,3708,6340,14600,3225,12418,437,806,1025,539,876,3613,4402,7539
"mmu-miR-27a-5p",7,4,8,45,8,21,35,36,33,26,4,10,0,0,0,0,0,1
"mmu-miR-27b-3p",24691,193353,21905,28059,125925,49004,63332,150829,29527,161825,3538,11459,19871,6578,9521,55878,103498,156553
"mmu-miR-27b-5p",11,156,3,11,148,64,52,185,98,180,11,6,0,0,4,43,0,233
"mmu-miR-2861",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"mmu-miR-28a-5p",188,1659,89,373,1143,459,943,1677,682,1780,66,98,1,3,21,303,204,145
"mmu-miR-28a-3p",30,391,39,116,255,68,203,288,275,164,15,42,379,78,35,186,500,1207
"mmu-miR-28b",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"mmu-miR-28c",0,6,0,0,0,9,4,17,3,0,0,1,0,0,0,0,0,0
"mmu-miR-295-3p",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"mmu-miR-296-3p",13,31,14,5,56,39,30,105,59,95,1,12,0,0,6,22,0,295
"mmu-miR-296-5p",14,80,7,35,46,37,48,136,37,55,1,4,0,0,0,21,1,0
"mmu-miR-297a-5p",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-297b-5p",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-298-5p",418,3391,532,1294,1699,845,1539,2361,2024,2887,163,340,1304,131,150,479,1049,2845
"mmu-miR-298-3p",0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-299a-3p",0,0,0,0,4,0,4,0,6,0,0,0,0,0,0,0,0,0
"mmu-miR-299b-3p",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"mmu-miR-29a-3p",869,6419,857,1566,4034,1851,3675,5579,7006,7881,299,447,182,258,185,873,1498,1339
"mmu-miR-29a-5p",23,23,18,0,20,0,30,38,7,86,5,7,0,0,1,35,0,0
"mmu-miR-29b-3p",25,225,48,50,126,60,143,155,15,244,3,25,50,0,17,79,0,0
"mmu-miR-29b-2-5p",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-29c-3p",22,76,46,41,56,23,67,107,31,150,3,2,1,0,11,33,35,89
"mmu-miR-29c-5p",0,5,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0
"mmu-miR-300-3p",2,11,0,7,4,0,3,0,21,31,0,0,0,0,0,22,55,138
"mmu-miR-301a-3p",721,3270,896,1308,2179,1081,2217,2208,612,4308,337,471,208,5,279,1273,717,2154
"mmu-miR-301a-5p",4,0,0,0,2,3,5,0,0,0,2,1,0,0,0,0,0,0
"mmu-miR-301b-3p",31,41,1,25,4,12,36,38,7,104,1,7,0,0,10,113,124,103
"mmu-miR-3057-5p",59,539,159,215,270,86,348,236,316,346,36,81,756,717,82,139,627,3021
"mmu-miR-3057-3p",0,10,0,0,8,0,8,18,6,5,0,2,0,0,1,0,0,0
"mmu-miR-3058-3p",0,8,0,0,0,0,9,18,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3060-3p",5,5,4,10,6,29,0,24,14,0,1,2,0,0,0,0,35,0
"mmu-miR-3061-3p",13,17,0,0,36,12,18,20,10,17,0,3,0,0,2,13,0,0
"mmu-miR-3061-5p",0,7,0,0,13,0,0,0,7,0,0,0,129,0,0,0,0,0
"mmu-miR-3064-5p",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3066-5p",0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,87
"mmu-miR-3066-3p",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3068-3p",16,154,19,87,97,12,49,178,27,128,5,12,0,1,9,24,51,208
"mmu-miR-3068-5p",0,6,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3069-3p",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3074-5p",0,3,4,3,3,0,3,0,0,0,0,1,0,0,0,0,0,0
"mmu-miR-3074-1-3p",0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
"mmu-miR-3075-5p",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3076-3p",0,5,0,0,16,0,8,10,0,9,0,2,0,0,1,0,0,0
"mmu-miR-3077-3p",0,12,0,0,0,0,12,0,5,24,0,3,0,0,0,0,0,0
"mmu-miR-3079-5p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,20,0
"mmu-miR-3079-3p",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3081-3p",0,0,0,0,0,0,2,0,0,15,0,0,0,0,1,0,0,0
"mmu-miR-3082-3p",13,79,24,2,33,3,20,41,14,93,0,0,1,0,8,20,0,140
"mmu-miR-3082-5p",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3084-3p",5,11,0,0,4,0,13,0,0,59,0,4,0,0,0,22,0,0
"mmu-miR-3086-5p",0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,14,0,0
"mmu-miR-3087-5p",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3089-3p",0,7,0,0,3,0,0,0,8,20,0,0,0,0,0,0,0,0
"mmu-miR-3091-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"mmu-miR-3091-5p",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3092-3p",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3095-5p",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"mmu-miR-3098-3p",0,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3098-5p",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3099-3p",4,10,15,0,14,0,0,0,25,0,0,2,0,0,0,0,0,0
"mmu-miR-30a-5p",3857,26172,6387,8163,14092,6024,13033,16629,10264,25181,1215,2787,4595,1655,2632,16501,24155,57719
"mmu-miR-30a-3p",59,340,35,33,279,103,155,296,179,300,1,30,801,3,44,82,659,1301
"mmu-miR-30b-5p",201,1107,221,327,724,445,693,854,605,1459,36,98,206,2,41,317,207,384
"mmu-miR-30b-3p",0,6,0,0,0,13,17,27,4,0,0,0,189,0,4,22,58,0
"mmu-miR-30c-5p",512,3764,601,1606,1633,846,2132,2437,1718,2735,177,249,247,4,124,265,587,884
"mmu-miR-30c-1-3p",5,16,6,9,8,9,18,52,15,66,2,6,0,0,8,26,0,311
"mmu-miR-30c-2-3p",6,132,13,28,65,44,32,80,77,127,1,9,222,0,6,34,51,327
"mmu-miR-30d-5p",4632,26527,5955,9031,15188,6638,16185,20261,14874,24471,1439,3282,1523,649,1948,7056,7500,21311
"mmu-miR-30d-3p",12,59,0,3,35,36,32,58,6,23,0,9,0,0,1,26,0,0
"mmu-miR-30e-5p",1368,8437,2361,3054,4139,1857,5230,5321,2475,6993,622,829,4,129,561,1250,978,3334
"mmu-miR-30e-3p",28,299,63,29,164,70,132,227,77,184,3,27,563,0,39,67,586,1560
"mmu-miR-30f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"mmu-miR-31-5p",1660,11992,1109,2221,8122,3268,7382,8675,7826,12657,361,734,1140,15,426,2705,4690,7298
"mmu-miR-31-3p",0,19,0,0,3,8,7,33,7,57,0,0,0,0,3,19,0,0
"mmu-miR-3102-3p",17,141,43,67,50,26,111,204,17,157,2,43,0,0,20,7,74,1
"mmu-miR-3102-3p.2-3p",9,90,47,63,22,9,45,91,39,76,7,3,0,0,7,16,0,0
"mmu-miR-3102-5p.2-5p",9,61,7,14,24,8,43,118,67,101,1,8,0,0,0,16,1,1
"mmu-miR-3102-5p",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3103-3p",0,6,0,0,0,0,3,0,10,36,3,0,0,0,0,0,0,0
"mmu-miR-3103-5p",0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3105-3p",4,6,0,0,0,7,10,7,10,0,0,0,0,0,0,0,0,0
"mmu-miR-3109-3p",0,31,16,0,21,11,19,25,9,12,0,0,0,0,0,0,0,0
"mmu-miR-3109-5p",0,0,0,0,4,0,4,6,0,0,0,0,0,0,0,0,0,0
"mmu-miR-32-5p",0,7,0,0,5,0,3,13,0,0,0,0,0,0,2,9,0,0
"mmu-miR-320-3p",197,1036,278,281,587,355,668,774,1053,745,65,150,1401,442,204,498,934,5569
"mmu-miR-322-5p",213,997,103,212,788,192,540,453,157,881,72,149,0,0,74,228,87,1142
"mmu-miR-322-3p",33,367,43,82,156,46,110,146,71,186,3,26,169,1,23,1,65,439
"mmu-miR-323-3p",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,0
"mmu-miR-324-3p",12,102,7,11,122,20,69,162,74,205,7,14,85,0,6,22,0,44
"mmu-miR-324-5p",10,35,0,0,20,0,43,16,9,107,0,4,0,0,9,14,0,0
"mmu-miR-326-3p",11,217,46,20,152,34,78,183,78,54,8,24,0,0,10,1,36,0
"mmu-miR-328-3p",258,2105,431,595,882,358,1267,1816,1207,2221,59,211,250,5,83,189,249,459
"mmu-miR-328-5p",0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"mmu-miR-33-5p",0,8,2,5,19,6,7,38,0,4,0,1,0,0,8,33,0,0
"mmu-miR-33-3p",0,8,0,0,6,0,21,0,0,0,0,0,0,0,1,0,0,0
"mmu-miR-330-5p",11,176,25,8,111,10,61,88,35,178,0,11,0,0,1,7,0,68
"mmu-miR-330-3p",0,25,0,0,16,1,12,43,24,57,0,15,0,0,14,6,0,0
"mmu-miR-331-3p",18,72,0,7,29,7,72,37,31,77,1,5,0,0,7,5,0,0
"mmu-miR-331-5p",3,3,0,0,12,0,5,3,29,10,0,6,0,0,0,0,0,0
"mmu-miR-335-5p",14,6,0,0,18,0,6,0,13,17,0,0,0,0,0,0,0,0
"mmu-miR-335-3p",2,0,0,0,0,17,0,0,10,18,0,0,0,0,0,0,0,0
"mmu-miR-338-3p",0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-339-3p",21,89,7,49,54,0,46,43,33,99,4,7,0,1,5,0,36,0
"mmu-miR-339-5p",0,20,2,7,7,0,9,25,41,17,0,0,0,0,4,10,0,88
"mmu-miR-340-5p",0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-341-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"mmu-miR-342-3p",56,561,148,178,244,73,261,286,145,175,29,30,1,133,28,55,479,446
"mmu-miR-342-5p",0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-344b-3p",0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0
"mmu-miR-344d-3p",69,115,21,67,128,56,166,80,213,463,6,8,0,0,5,74,172,0
"mmu-miR-344d-3-5p",0,0,0,0,10,0,8,0,13,9,0,0,0,0,0,0,0,0
"mmu-miR-345-3p",26,270,27,66,138,54,110,154,56,278,4,27,0,0,19,158,142,203
"mmu-miR-345-5p",16,97,0,4,35,19,41,101,93,44,2,8,0,0,2,29,0,0
"mmu-miR-3470a",24,113,10,77,41,25,5,14,87,14,0,0,213,0,1,0,36,0
"mmu-miR-3470b",81,369,21,229,158,120,23,64,195,30,0,0,319,0,17,33,351,121
"mmu-miR-3473a",5,37,10,0,42,11,4,21,6,0,0,3,0,0,3,17,0,0
"mmu-miR-3473b",1,4,0,0,11,0,1,10,8,0,0,0,0,0,0,2,0,0
"mmu-miR-3473c",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3473d",0,3,14,0,4,0,3,5,0,18,0,2,0,0,0,11,0,0
"mmu-miR-3473e",1,0,0,0,2,0,1,10,4,0,0,0,0,0,0,2,0,0
"mmu-miR-3473f",0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3473g",0,6,0,0,5,19,16,22,26,0,0,0,0,0,0,17,0,0
"mmu-miR-3473h-5p",0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,38
"mmu-miR-34a-5p",19,128,24,27,81,82,81,165,32,264,2,16,0,85,13,23,0,0
"mmu-miR-34a-3p",2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"mmu-miR-34b-5p",199,772,94,280,464,176,466,611,98,1162,56,118,956,1,99,862,697,3810
"mmu-miR-34b-3p",133,900,118,249,559,206,618,1400,700,779,22,59,301,1,58,94,241,316
"mmu-miR-34c-5p",5570,24060,3022,7505,18509,9711,17771,17440,10847,41034,1212,2668,432,194,688,1899,4143,7550
"mmu-miR-34c-3p",8,169,0,0,95,0,147,112,77,49,0,4,0,0,11,76,25,107
"mmu-miR-350-5p",4,78,0,10,37,8,28,76,25,36,3,9,0,0,0,0,118,43
"mmu-miR-350-3p",2,21,16,19,26,23,4,62,6,0,0,1,0,0,2,0,0,0
"mmu-miR-351-5p",2215,21430,6055,6096,8315,2686,7857,8194,5256,12270,1308,2247,877,239,1291,3060,1766,10799
"mmu-miR-351-3p",0,8,0,0,8,0,0,8,4,0,0,0,0,0,1,0,0,0
"mmu-miR-3535",18,83,0,26,30,0,24,13,114,41,32,16,149,86,6,98,258,169
"mmu-miR-3569-5p",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"mmu-miR-3572-3p",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-361-5p",57,342,94,78,249,68,157,223,248,217,9,24,0,1,28,45,179,330
"mmu-miR-361-3p",8,92,18,0,35,44,51,76,73,88,1,12,0,0,0,15,60,0
"mmu-miR-362-5p",10,103,0,33,75,26,74,35,40,50,0,11,0,0,8,12,45,0
"mmu-miR-362-3p",1,41,0,0,21,16,23,61,9,61,7,2,0,1,1,42,0,1
"mmu-miR-365-3p",44,853,160,238,204,16,271,519,257,325,50,55,0,0,69,433,36,365
"mmu-miR-365-2-5p",13,152,68,40,68,40,71,106,126,172,26,24,0,0,10,0,50,129
"mmu-miR-369-3p",16,15,0,27,52,0,32,15,21,110,0,1,0,0,5,107,125,48
"mmu-miR-374b-5p",11,129,7,5,58,12,32,78,12,97,0,1,0,0,8,14,20,0
"mmu-miR-375-3p",2,21,0,0,15,0,0,16,14,14,0,0,0,0,2,0,0,0
"mmu-miR-378a-3p",1442,8246,2055,1972,5721,2544,4262,6592,4918,9909,390,799,5436,1082,1008,7635,9779,43745
"mmu-miR-378a-5p",0,24,1,0,9,4,8,12,17,21,2,2,0,0,0,9,0,47
"mmu-miR-378b",0,17,0,1,3,0,11,28,10,14,0,2,0,0,0,8,30,58
"mmu-miR-378c",455,2056,499,574,1484,593,915,1620,1249,2266,87,177,1151,257,295,2055,2863,13406
"mmu-miR-378d",31,128,27,4,76,25,38,98,34,69,6,12,0,0,5,55,1,308
"mmu-miR-379-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"mmu-miR-381-3p",0,7,0,0,14,19,0,0,8,0,0,0,0,0,1,10,84,127
"mmu-miR-383-5p",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-384-5p",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"mmu-miR-3960",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3963",3,7,0,3,3,1,5,8,0,2,0,0,0,0,0,0,0,2
"mmu-miR-3965",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3966",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"mmu-miR-3968",62,318,22,18,163,60,104,506,94,352,19,8,1,2,2,12,65,1
"mmu-miR-3970",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"mmu-miR-409-5p",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,46,109
"mmu-miR-409-3p",7,0,0,5,8,16,7,0,82,17,0,0,0,0,0,1,0,0
"mmu-miR-410-3p",10,26,0,0,70,7,18,19,39,82,3,2,276,66,1,88,789,378
"mmu-miR-411-5p",5,13,18,12,20,10,12,0,31,0,0,0,76,0,1,25,47,177
"mmu-miR-411-3p",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-412-5p",1,0,0,0,10,0,2,0,4,27,0,0,146,0,0,17,33,155
"mmu-miR-421-3p",111,1058,78,254,486,257,429,680,330,854,24,42,1,1,22,104,326,430
"mmu-miR-421-5p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"mmu-miR-423-5p",5093,18837,4346,7942,10807,6495,12506,15111,37517,25393,1403,3763,2836,719,926,4707,10871,16111
"mmu-miR-423-3p",592,4552,561,1685,2039,783,2944,4428,2902,4137,196,501,97,3,90,385,452,495
"mmu-miR-425-5p",107,605,88,175,489,211,420,756,430,1062,24,59,146,79,47,238,484,807
"mmu-miR-425-3p",13,19,4,0,9,0,12,21,0,44,0,0,0,0,1,0,0,0
"mmu-miR-429-3p",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-431-5p",0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
"mmu-miR-433-3p",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-448-3p",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"mmu-miR-449a-5p",6,21,0,0,6,0,3,16,6,33,0,2,0,0,4,0,49,46
"mmu-miR-449b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"mmu-miR-449c-5p",0,11,0,24,0,0,3,19,0,0,0,0,0,0,0,0,0,0
"mmu-miR-450a-5p",5,170,21,57,113,12,22,127,10,267,4,5,0,0,6,17,56,48
"mmu-miR-450a-1-3p",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-450a-2-3p",0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"mmu-miR-450b-5p",14,40,78,40,44,21,20,18,3,23,3,0,0,0,0,27,56,105
"mmu-miR-450b-3p",0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-451a",13,33,0,0,90,1,28,19,25,65,0,3,0,0,1,4,48,386
"mmu-miR-452-3p",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-452-5p",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-455-5p",0,11,0,2,5,0,0,0,0,0,0,0,0,0,2,14,0,0
"mmu-miR-455-3p",0,10,0,0,2,0,14,0,0,0,0,2,0,0,4,0,0,0
"mmu-miR-463-5p",0,0,0,0,0,0,8,2,0,0,0,8,0,0,0,0,0,0
"mmu-miR-465a-3p",9,39,14,13,44,9,14,16,23,92,0,0,0,1,1,0,40,0
"mmu-miR-465a-5p",0,0,0,16,4,23,14,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-465b-3p",9,39,14,13,44,9,14,16,23,92,0,0,0,1,1,0,40,0
"mmu-miR-465c-3p",9,39,14,13,44,9,14,16,23,92,0,0,0,1,1,0,40,0
"mmu-miR-465c-5p",0,12,0,24,30,0,18,15,32,60,0,0,0,0,6,4,0,0
"mmu-miR-466a-3p",1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-466b-3p",1,14,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"mmu-miR-466b-5p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-466c-3p",1,14,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"mmu-miR-466d-5p",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-466e-3p",1,14,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"mmu-miR-466e-5p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-466f-3p",0,2,0,6,0,0,2,0,0,0,0,3,0,0,0,0,0,0
"mmu-miR-466g",0,0,0,4,0,0,0,9,0,26,0,0,0,0,0,0,0,0
"mmu-miR-466h-3p",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89
"mmu-miR-466i-5p",0,8,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-466i-3p",0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
"mmu-miR-466n-5p",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-466o-5p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-466p-3p",1,14,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"mmu-miR-467a-5p",0,15,0,0,0,0,9,17,13,10,0,0,0,0,2,0,0,0
"mmu-miR-467a-3p",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"mmu-miR-467b-5p",0,15,0,0,0,0,9,17,13,10,0,0,0,0,2,0,0,0
"mmu-miR-467c-5p",1,15,0,0,6,0,0,29,2,18,0,0,0,0,0,0,0,0
"mmu-miR-467d-5p",2,11,0,8,10,0,15,31,2,6,0,0,0,0,1,1,0,0
"mmu-miR-467d-3p",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"mmu-miR-467e-5p",0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-470-5p",4,79,10,0,73,13,14,27,44,109,3,9,181,0,1,26,29,98
"mmu-miR-484",409,4555,875,1404,1860,539,2362,3773,2232,2332,191,196,136,102,92,365,209,800
"mmu-miR-485-3p",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"mmu-miR-486a-5p",1647,7471,1798,1626,7824,2239,4862,5120,10527,7084,220,822,30494,3607,1562,6257,24065,44583
"mmu-miR-486a-3p",2,6,0,5,8,6,0,0,18,23,0,0,0,0,0,0,0,0
"mmu-miR-486b-5p",1638,7408,1790,1606,7747,2166,4824,5082,10450,7016,223,816,29634,3583,1525,6170,23895,43930
"mmu-miR-486b-3p",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-491-5p",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-493-5p",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"mmu-miR-494-3p",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-495-3p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-497a-5p",48,285,51,53,203,90,246,311,124,240,17,33,0,0,36,30,0,808
"mmu-miR-497a-3p",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-499-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"mmu-miR-500-3p",6,31,0,0,24,6,8,24,22,25,0,2,73,0,1,0,0,0
"mmu-miR-500-5p",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-501-3p",1202,10062,862,1339,4419,1526,3681,5551,4355,5320,265,695,10321,564,501,2664,11727,14259
"mmu-miR-501-5p",3,6,19,0,6,0,0,11,0,22,0,0,0,0,0,0,0,0
"mmu-miR-503-3p",2,13,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,98
"mmu-miR-504-5p",0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-505-3p",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-505-5p",0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0
"mmu-miR-5099",471,1926,118,251,1592,803,965,3040,6833,2204,37,103,414,34,61,147,680,276
"mmu-miR-5100",2,1,0,0,4,9,3,12,1,0,0,0,0,0,0,0,0,0
"mmu-miR-5106",0,3,3,0,3,5,6,0,39,14,1,2,0,0,0,18,45,0
"mmu-miR-5108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
"mmu-miR-5112",0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0
"mmu-miR-5113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"mmu-miR-5114",7,43,0,0,25,32,38,21,36,0,3,1,0,0,2,23,0,0
"mmu-miR-5119",0,1,3,4,5,12,3,1,3,10,0,0,0,17,2,21,0,10
"mmu-miR-5121",0,9,0,0,7,0,0,0,42,17,2,1,0,0,3,9,0,0
"mmu-miR-5122",0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0
"mmu-miR-5123",0,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"mmu-miR-5124a",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-5126",7,18,1,10,80,10,7,11,0,21,0,1,0,1,2,0,0,1
"mmu-miR-5128",2,51,7,38,8,1,0,13,8,9,0,4,1,0,2,2,1,33
"mmu-miR-5129-3p",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"mmu-miR-5129-5p",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-532-5p",139,572,72,62,456,112,343,702,598,821,33,59,2,157,59,241,543,1886
"mmu-miR-532-3p",23,213,45,59,102,49,161,272,86,173,9,13,1,0,15,52,34,2
"mmu-miR-541-5p",0,0,0,0,6,0,4,12,0,0,0,0,0,0,0,0,0,0
"mmu-miR-542-3p",44,192,20,97,52,20,70,145,34,270,19,30,0,1,20,47,122,584
"mmu-miR-542-5p",0,14,1,2,13,3,9,48,6,28,0,3,0,0,4,0,44,94
"mmu-miR-543-3p",0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0
"mmu-miR-547-3p",0,33,0,0,23,0,13,0,5,0,0,0,0,0,0,0,0,0
"mmu-miR-5615-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
"mmu-miR-5620-5p",0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0
"mmu-miR-5621-3p",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-5626-3p",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-5627-3p",0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-5709-5p",0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-574-3p",5,212,25,32,87,47,102,331,116,122,5,10,231,0,26,7,0,0
"mmu-miR-574-5p",2,38,6,7,15,1,4,17,45,18,0,1,1,1,15,0,0,0
