## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/chan/mice_microgravity/outputs_primary/picard/SRR13535288_sorted.bam] OUTPUT=/home/chan/mice_microgravity/outputs_primary/picard/SRR13535288_deduped.bam METRICS_FILE=/home/chan/mice_microgravity/outputs_primary/picard/SRR13535288_deduped.log REMOVE_DUPLICATES=true ASSUME_SORT_ORDER=coordinate TMP_DIR=[/home/chan/mice_microgravity/tmp] CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 21 14:44:59 PST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	610556	29795268	12875723	0	554034	18387137	0	0.62006	12588659

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
93.0	1.103481	303	303
94.0	1.103481	262	262
95.0	1.103481	286	286
96.0	1.103481	277	277
97.0	1.103481	296	296
98.0	1.103481	242	242
99.0	1.103481	252	252
100.0	1.103481	264	264
101.0	0	222	222
102.0	0	258	258
103.0	0	227	227
104.0	0	243	243
105.0	0	203	203
106.0	0	230	230
107.0	0	247	247
108.0	0	257	257
109.0	0	204	204
110.0	0	215	215
111.0	0	221	221
112.0	0	222	222
113.0	0	211	211
114.0	0	203	203
115.0	0	190	190
116.0	0	190	190
117.0	0	182	182
118.0	0	177	177
119.0	0	179	179
120.0	0	161	161
121.0	0	198	198
122.0	0	176	176
123.0	0	190	190
124.0	0	165	165
125.0	0	142	142
126.0	0	147	147
127.0	0	154	154
128.0	0	151	151
129.0	0	147	147
130.0	0	162	162
131.0	0	138	138
132.0	0	158	158
133.0	0	144	144
134.0	0	135	135
135.0	0	121	121
136.0	0	146	146
137.0	0	142	142
138.0	0	139	139
139.0	0	122	122
140.0	0	146	146
141.0	0	136	136
142.0	0	128	128
143.0	0	149	149
144.0	0	103	103
145.0	0	130	130
146.0	0	99	99
147.0	0	114	114
148.0	0	120	120
149.0	0	128	128
150.0	0	115	115
151.0	0	108	108
152.0	0	103	103
153.0	0	117	117
154.0	0	122	122
155.0	0	118	118
156.0	0	111	111
157.0	0	93	93
158.0	0	84	84
159.0	0	98	98
160.0	0	98	98
161.0	0	95	95
162.0	0	86	86
163.0	0	86	86
164.0	0	83	83
165.0	0	116	116
166.0	0	98	98
167.0	0	104	104
168.0	0	113	113
169.0	0	90	90
170.0	0	111	111
171.0	0	68	68
172.0	0	88	88
173.0	0	77	77
174.0	0	73	73
175.0	0	89	89
176.0	0	82	82
177.0	0	87	87
178.0	0	70	70
179.0	0	81	81
180.0	0	70	70
181.0	0	83	83
182.0	0	89	89
183.0	0	72	72
184.0	0	94	94
185.0	0	76	76
186.0	0	81	81
187.0	0	56	56
188.0	0	78	78
189.0	0	74	74
190.0	0	91	91
191.0	0	85	85
192.0	0	70	70
193.0	0	62	62
194.0	0	70	70
195.0	0	86	86
196.0	0	69	69
197.0	0	64	64
198.0	0	60	60
199.0	0	57	57
200.0	0	73	73
201.0	0	55	55
202.0	0	67	67
203.0	0	69	69
204.0	0	57	57
205.0	0	48	48
206.0	0	63	63
207.0	0	53	53
208.0	0	67	67
209.0	0	80	80
210.0	0	62	62
211.0	0	62	62
212.0	0	64	64
213.0	0	64	64
214.0	0	54	54
215.0	0	64	64
216.0	0	59	59
217.0	0	64	64
218.0	0	70	70
219.0	0	60	60
220.0	0	54	54
221.0	0	69	69
222.0	0	54	54
223.0	0	43	43
224.0	0	43	43
225.0	0	43	43
226.0	0	42	42
227.0	0	48	48
228.0	0	57	57
229.0	0	50	50
230.0	0	54	54
231.0	0	55	55
232.0	0	55	55
233.0	0	46	46
234.0	0	53	53
235.0	0	32	32
236.0	0	37	37
237.0	0	47	47
238.0	0	44	44
239.0	0	37	37
240.0	0	44	44
241.0	0	43	43
242.0	0	42	42
243.0	0	39	39
244.0	0	36	36
245.0	0	41	41
246.0	0	41	41
247.0	0	43	43
248.0	0	33	33
249.0	0	43	43
250.0	0	49	49
251.0	0	38	38
252.0	0	35	35
253.0	0	41	41
254.0	0	34	34
255.0	0	36	36
256.0	0	44	44
257.0	0	38	38
258.0	0	36	36
259.0	0	45	45
260.0	0	43	43
261.0	0	41	41
262.0	0	31	31
263.0	0	34	34
264.0	0	30	30
265.0	0	30	30
266.0	0	51	51
267.0	0	29	29
268.0	0	36	36
269.0	0	38	38
270.0	0	47	47
271.0	0	33	33
272.0	0	31	31
273.0	0	38	38
274.0	0	32	32
275.0	0	48	48
276.0	0	25	25
277.0	0	32	32
278.0	0	24	24
279.0	0	37	37
280.0	0	23	23
281.0	0	37	37
282.0	0	19	19
283.0	0	43	43
284.0	0	36	36
285.0	0	26	26
286.0	0	17	17
287.0	0	29	29
288.0	0	25	25
289.0	0	34	34
290.0	0	29	29
291.0	0	33	33
292.0	0	27	27
293.0	0	39	39
294.0	0	24	24
295.0	0	29	29
296.0	0	20	20
297.0	0	34	34
298.0	0	25	25
299.0	0	27	27
300.0	0	31	31
301.0	0	31	31
302.0	0	26	26
303.0	0	29	29
304.0	0	31	31
305.0	0	28	28
306.0	0	24	24
307.0	0	30	30
308.0	0	28	28
309.0	0	13	13
310.0	0	30	30
311.0	0	22	22
312.0	0	28	28
313.0	0	26	26
314.0	0	22	22
315.0	0	20	20
316.0	0	23	23
317.0	0	17	17
318.0	0	30	30
319.0	0	23	23
320.0	0	35	35
321.0	0	19	19
322.0	0	23	23
323.0	0	25	25
324.0	0	24	24
325.0	0	30	30
326.0	0	27	27
327.0	0	19	19
328.0	0	22	22
329.0	0	24	24
330.0	0	16	16
331.0	0	20	20
332.0	0	31	31
333.0	0	18	18
334.0	0	21	21
335.0	0	18	18
336.0	0	34	34
337.0	0	22	22
338.0	0	21	21
339.0	0	17	17
340.0	0	27	27
341.0	0	22	22
342.0	0	14	14
343.0	0	32	32
344.0	0	23	23
345.0	0	23	23
346.0	0	18	18
347.0	0	19	19
348.0	0	20	20
349.0	0	22	22
350.0	0	17	17
351.0	0	23	23
352.0	0	24	24
353.0	0	21	21
354.0	0	19	19
355.0	0	15	15
356.0	0	22	22
357.0	0	17	17
358.0	0	20	20
359.0	0	17	17
360.0	0	24	24
361.0	0	15	15
362.0	0	16	16
363.0	0	23	23
364.0	0	17	17
365.0	0	24	24
366.0	0	20	20
367.0	0	15	15
368.0	0	15	15
369.0	0	15	15
370.0	0	20	20
371.0	0	13	13
372.0	0	17	17
373.0	0	22	22
374.0	0	23	23
375.0	0	19	19
376.0	0	26	26
377.0	0	10	10
378.0	0	15	15
379.0	0	13	13
380.0	0	14	14
381.0	0	18	18
382.0	0	18	18
383.0	0	22	22
384.0	0	11	11
385.0	0	11	11
386.0	0	10	10
387.0	0	18	18
388.0	0	18	18
389.0	0	14	14
390.0	0	22	22
391.0	0	19	19
392.0	0	15	15
393.0	0	9	9
394.0	0	13	13
395.0	0	16	16
396.0	0	15	15
397.0	0	16	16
398.0	0	13	13
399.0	0	9	9
400.0	0	18	18
401.0	0	15	15
402.0	0	15	15
403.0	0	14	14
404.0	0	7	7
405.0	0	14	14
406.0	0	11	11
407.0	0	10	10
408.0	0	16	16
409.0	0	13	13
410.0	0	15	15
411.0	0	18	18
412.0	0	12	12
413.0	0	9	9
414.0	0	14	14
415.0	0	15	15
416.0	0	17	17
417.0	0	13	13
418.0	0	13	13
419.0	0	14	14
420.0	0	11	11
421.0	0	14	14
422.0	0	12	12
423.0	0	12	12
424.0	0	15	15
425.0	0	18	18
426.0	0	18	18
427.0	0	13	13
428.0	0	14	14
429.0	0	11	11
430.0	0	12	12
431.0	0	22	22
432.0	0	9	9
433.0	0	6	6
434.0	0	13	13
435.0	0	14	14
436.0	0	11	11
437.0	0	12	12
438.0	0	15	15
439.0	0	12	12
440.0	0	8	8
441.0	0	17	17
442.0	0	17	17
443.0	0	14	14
444.0	0	14	14
445.0	0	13	13
446.0	0	14	14
447.0	0	11	11
448.0	0	21	21
449.0	0	12	12
450.0	0	12	12
451.0	0	18	18
452.0	0	7	7
453.0	0	14	14
454.0	0	13	13
455.0	0	10	10
456.0	0	10	10
457.0	0	13	13
458.0	0	13	13
459.0	0	16	16
460.0	0	17	17
461.0	0	11	11
462.0	0	10	10
463.0	0	11	11
464.0	0	15	15
465.0	0	7	7
466.0	0	13	13
467.0	0	6	6
468.0	0	8	8
469.0	0	8	8
470.0	0	11	11
471.0	0	12	12
472.0	0	15	15
473.0	0	5	5
474.0	0	2	2
475.0	0	6	6
476.0	0	13	13
477.0	0	9	9
478.0	0	9	9
479.0	0	11	11
480.0	0	11	11
481.0	0	5	5
482.0	0	14	14
483.0	0	13	13
484.0	0	12	12
485.0	0	8	8
486.0	0	14	14
487.0	0	8	8
488.0	0	11	11
489.0	0	8	8
490.0	0	7	7
491.0	0	9	9
492.0	0	10	10
493.0	0	12	12
494.0	0	7	7
495.0	0	11	11
496.0	0	13	13
497.0	0	10	10
498.0	0	9	9
499.0	0	4	4
500.0	0	12	12
501.0	0	14	14
502.0	0	14	14
503.0	0	6	6
504.0	0	14	14
505.0	0	6	6
506.0	0	11	11
507.0	0	4	4
508.0	0	11	11
509.0	0	7	7
510.0	0	12	12
511.0	0	8	8
512.0	0	4	4
513.0	0	5	5
514.0	0	8	8
515.0	0	7	7
516.0	0	10	10
517.0	0	6	6
518.0	0	3	3
519.0	0	7	7
520.0	0	15	15
521.0	0	7	7
522.0	0	7	7
523.0	0	9	9
524.0	0	4	4
525.0	0	7	7
526.0	0	10	10
527.0	0	5	5
528.0	0	10	10
529.0	0	8	8
530.0	0	4	4
531.0	0	13	13
532.0	0	7	7
533.0	0	11	11
534.0	0	11	11
535.0	0	5	5
536.0	0	6	6
537.0	0	4	4
538.0	0	8	8
539.0	0	3	3
540.0	0	13	13
541.0	0	8	8
542.0	0	5	5
543.0	0	4	4
544.0	0	7	7
545.0	0	9	9
546.0	0	6	6
547.0	0	5	5
548.0	0	13	13
549.0	0	10	10
550.0	0	7	7
551.0	0	11	11
552.0	0	6	6
553.0	0	6	6
554.0	0	5	5
555.0	0	5	5
556.0	0	9	9
557.0	0	4	4
558.0	0	4	4
559.0	0	9	9
560.0	0	2	2
561.0	0	12	12
562.0	0	7	7
563.0	0	8	8
564.0	0	4	4
565.0	0	5	5
566.0	0	5	5
567.0	0	6	6
568.0	0	13	13
569.0	0	9	9
570.0	0	10	10
571.0	0	6	6
572.0	0	6	6
573.0	0	10	10
574.0	0	9	9
575.0	0	6	6
576.0	0	7	7
577.0	0	8	8
578.0	0	11	11
579.0	0	6	6
580.0	0	6	6
581.0	0	5	5
582.0	0	8	8
583.0	0	7	7
584.0	0	9	9
585.0	0	8	8
586.0	0	7	7
587.0	0	10	10
588.0	0	5	5
589.0	0	5	5
590.0	0	9	9
591.0	0	6	6
592.0	0	7	7
593.0	0	6	6
594.0	0	8	8
595.0	0	3	3
596.0	0	9	9
597.0	0	6	6
598.0	0	6	6
599.0	0	13	13
600.0	0	5	5
601.0	0	2	2
602.0	0	4	4
603.0	0	8	8
604.0	0	9	9
605.0	0	3	3
606.0	0	3	3
607.0	0	1	1
608.0	0	7	7
609.0	0	6	6
610.0	0	7	7
611.0	0	5	5
612.0	0	4	4
613.0	0	7	7
614.0	0	6	6
615.0	0	7	7
616.0	0	8	8
617.0	0	5	5
618.0	0	9	9
619.0	0	3	3
620.0	0	10	10
621.0	0	3	3
622.0	0	6	6
623.0	0	4	4
624.0	0	6	6
625.0	0	7	7
626.0	0	4	4
627.0	0	6	6
628.0	0	2	2
629.0	0	4	4
630.0	0	5	5
631.0	0	11	11
632.0	0	6	6
633.0	0	8	8
634.0	0	6	6
635.0	0	7	7
636.0	0	3	3
637.0	0	4	4
638.0	0	6	6
639.0	0	4	4
640.0	0	6	6
641.0	0	3	3
642.0	0	5	5
643.0	0	7	7
644.0	0	9	9
645.0	0	6	6
646.0	0	6	6
647.0	0	7	7
648.0	0	4	4
649.0	0	5	5
650.0	0	6	6
651.0	0	10	10
652.0	0	6	6
653.0	0	5	5
654.0	0	6	6
655.0	0	4	4
656.0	0	9	9
657.0	0	5	5
658.0	0	6	6
659.0	0	6	6
660.0	0	3	3
661.0	0	1	1
662.0	0	4	4
663.0	0	2	2
664.0	0	5	5
665.0	0	3	3
666.0	0	5	5
667.0	0	3	3
668.0	0	7	7
669.0	0	7	7
670.0	0	3	3
671.0	0	6	6
672.0	0	4	4
673.0	0	6	6
674.0	0	4	4
675.0	0	2	2
676.0	0	4	4
677.0	0	5	5
678.0	0	6	6
679.0	0	1	1
680.0	0	5	5
681.0	0	5	5
682.0	0	3	3
683.0	0	5	5
684.0	0	7	7
685.0	0	8	8
686.0	0	3	3
687.0	0	5	5
688.0	0	3	3
689.0	0	4	4
690.0	0	4	4
691.0	0	4	4
692.0	0	4	4
693.0	0	7	7
694.0	0	3	3
695.0	0	6	6
696.0	0	9	9
697.0	0	5	5
698.0	0	6	6
699.0	0	5	5
700.0	0	4	4
702.0	0	1	1
703.0	0	2	2
704.0	0	5	5
705.0	0	3	3
706.0	0	6	6
707.0	0	2	2
708.0	0	8	8
709.0	0	2	2
710.0	0	4	4
711.0	0	5	5
712.0	0	6	6
713.0	0	6	6
714.0	0	2	2
715.0	0	4	4
716.0	0	7	7
717.0	0	3	3
718.0	0	2	2
719.0	0	7	7
720.0	0	2	2
721.0	0	4	4
722.0	0	2	2
723.0	0	6	6
724.0	0	7	7
725.0	0	3	3
726.0	0	3	3
727.0	0	4	4
728.0	0	5	5
729.0	0	4	4
730.0	0	4	4
731.0	0	3	3
732.0	0	3	3
733.0	0	5	5
734.0	0	3	3
735.0	0	4	4
736.0	0	4	4
737.0	0	4	4
738.0	0	1	1
739.0	0	1	1
740.0	0	2	2
741.0	0	4	4
742.0	0	6	6
743.0	0	4	4
745.0	0	2	2
746.0	0	6	6
747.0	0	5	5
748.0	0	3	3
749.0	0	3	3
750.0	0	8	8
751.0	0	3	3
752.0	0	9	9
753.0	0	4	4
754.0	0	4	4
755.0	0	2	2
756.0	0	3	3
757.0	0	1	1
758.0	0	2	2
759.0	0	7	7
760.0	0	4	4
761.0	0	8	8
762.0	0	3	3
763.0	0	1	1
764.0	0	3	3
765.0	0	2	2
766.0	0	4	4
767.0	0	1	1
768.0	0	2	2
769.0	0	3	3
770.0	0	3	3
771.0	0	4	4
772.0	0	3	3
773.0	0	6	6
774.0	0	8	8
775.0	0	7	7
776.0	0	2	2
777.0	0	3	3
778.0	0	2	2
779.0	0	2	2
780.0	0	1	1
781.0	0	1	1
782.0	0	3	3
783.0	0	4	4
784.0	0	2	2
785.0	0	3	3
786.0	0	3	3
787.0	0	5	5
788.0	0	1	1
789.0	0	1	1
790.0	0	2	2
791.0	0	3	3
792.0	0	5	5
793.0	0	3	3
794.0	0	2	2
795.0	0	7	7
796.0	0	1	1
797.0	0	3	3
798.0	0	3	3
799.0	0	2	2
800.0	0	6	6
801.0	0	6	6
802.0	0	2	2
803.0	0	4	4
804.0	0	4	4
805.0	0	4	4
806.0	0	4	4
807.0	0	4	4
808.0	0	5	5
809.0	0	3	3
810.0	0	2	2
811.0	0	1	1
812.0	0	5	5
813.0	0	5	5
814.0	0	3	3
815.0	0	1	1
816.0	0	5	5
817.0	0	3	3
818.0	0	1	1
819.0	0	6	6
820.0	0	1	1
821.0	0	1	1
822.0	0	2	2
823.0	0	3	3
824.0	0	3	3
825.0	0	3	3
826.0	0	2	2
827.0	0	3	3
828.0	0	1	1
829.0	0	6	6
830.0	0	4	4
831.0	0	2	2
832.0	0	6	6
833.0	0	1	1
835.0	0	3	3
836.0	0	4	4
837.0	0	1	1
839.0	0	5	5
840.0	0	2	2
841.0	0	2	2
842.0	0	2	2
843.0	0	5	5
844.0	0	1	1
845.0	0	5	5
846.0	0	5	5
847.0	0	3	3
848.0	0	2	2
849.0	0	5	5
850.0	0	5	5
851.0	0	4	4
852.0	0	2	2
853.0	0	3	3
854.0	0	3	3
855.0	0	3	3
856.0	0	4	4
857.0	0	5	5
858.0	0	4	4
859.0	0	3	3
860.0	0	5	5
861.0	0	2	2
862.0	0	5	5
863.0	0	2	2
864.0	0	5	5
865.0	0	4	4
866.0	0	3	3
867.0	0	2	2
868.0	0	3	3
869.0	0	3	3
870.0	0	1	1
871.0	0	1	1
872.0	0	3	3
873.0	0	2	2
874.0	0	5	5
875.0	0	3	3
876.0	0	1	1
877.0	0	4	4
878.0	0	1	1
879.0	0	5	5
880.0	0	2	2
881.0	0	1	1
882.0	0	3	3
883.0	0	1	1
884.0	0	3	3
885.0	0	2	2
886.0	0	3	3
887.0	0	3	3
889.0	0	2	2
890.0	0	1	1
891.0	0	2	2
892.0	0	2	2
893.0	0	4	4
894.0	0	2	2
896.0	0	2	2
897.0	0	1	1
898.0	0	1	1
899.0	0	2	2
900.0	0	2	2
901.0	0	4	4
902.0	0	1	1
903.0	0	1	1
904.0	0	1	1
905.0	0	1	1
906.0	0	4	4
907.0	0	2	2
908.0	0	1	1
909.0	0	2	2
910.0	0	6	6
911.0	0	3	3
912.0	0	4	4
913.0	0	4	4
914.0	0	1	1
915.0	0	2	2
916.0	0	5	5
918.0	0	3	3
919.0	0	4	4
920.0	0	2	2
921.0	0	2	2
923.0	0	1	1
924.0	0	1	1
925.0	0	1	1
927.0	0	2	2
928.0	0	3	3
929.0	0	3	3
930.0	0	3	3
932.0	0	1	1
934.0	0	1	1
935.0	0	4	4
936.0	0	2	2
937.0	0	4	4
938.0	0	4	4
939.0	0	1	1
940.0	0	1	1
941.0	0	2	2
942.0	0	1	1
943.0	0	1	1
944.0	0	3	3
945.0	0	2	2
946.0	0	2	2
947.0	0	2	2
948.0	0	3	3
949.0	0	2	2
951.0	0	1	1
952.0	0	1	1
953.0	0	2	2
954.0	0	3	3
957.0	0	5	5
958.0	0	1	1
959.0	0	2	2
960.0	0	1	1
961.0	0	1	1
962.0	0	3	3
963.0	0	1	1
964.0	0	2	2
965.0	0	2	2
966.0	0	2	2
967.0	0	2	2
968.0	0	5	5
969.0	0	1	1
970.0	0	1	1
971.0	0	1	1
972.0	0	1	1
973.0	0	1	1
974.0	0	1	1
976.0	0	4	4
977.0	0	5	5
978.0	0	3	3
979.0	0	1	1
980.0	0	6	6
981.0	0	3	3
983.0	0	1	1
984.0	0	2	2
985.0	0	1	1
986.0	0	3	3
987.0	0	1	1
988.0	0	1	1
989.0	0	2	2
990.0	0	1	1
991.0	0	4	4
992.0	0	3	3
993.0	0	4	4
994.0	0	2	2
996.0	0	1	1
997.0	0	2	2
998.0	0	1	1
1000.0	0	3	3
1001.0	0	3	3
1002.0	0	3	3
1004.0	0	1	1
1005.0	0	5	5
1006.0	0	5	5
1008.0	0	5	5
1009.0	0	2	2
1011.0	0	3	3
1012.0	0	3	3
1013.0	0	2	2
1014.0	0	1	1
1015.0	0	3	3
1016.0	0	1	1
1017.0	0	1	1
1019.0	0	1	1
1021.0	0	1	1
1023.0	0	2	2
1024.0	0	3	3
1025.0	0	4	4
1026.0	0	3	3
1027.0	0	3	3
1028.0	0	1	1
1029.0	0	2	2
1030.0	0	2	2
1031.0	0	2	2
1032.0	0	1	1
1034.0	0	2	2
1035.0	0	2	2
1036.0	0	3	3
1037.0	0	2	2
1038.0	0	3	3
1039.0	0	1	1
1040.0	0	2	2
1041.0	0	4	4
1042.0	0	1	1
1043.0	0	2	2
1044.0	0	1	1
1046.0	0	1	1
1047.0	0	1	1
1048.0	0	1	1
1049.0	0	1	1
1050.0	0	1	1
1051.0	0	1	1
1052.0	0	2	2
1053.0	0	2	2
1054.0	0	2	2
1056.0	0	2	2
1057.0	0	3	3
1059.0	0	2	2
1060.0	0	2	2
1061.0	0	2	2
1062.0	0	1	1
1063.0	0	5	5
1064.0	0	1	1
1065.0	0	3	3
1069.0	0	2	2
1071.0	0	2	2
1072.0	0	1	1
1073.0	0	2	2
1074.0	0	2	2
1076.0	0	3	3
1077.0	0	1	1
1078.0	0	2	2
1079.0	0	3	3
1081.0	0	2	2
1082.0	0	2	2
1084.0	0	1	1
1085.0	0	2	2
1086.0	0	4	4
1087.0	0	1	1
1089.0	0	2	2
1090.0	0	3	3
1091.0	0	1	1
1092.0	0	1	1
1093.0	0	3	3
1094.0	0	1	1
1095.0	0	4	4
1097.0	0	1	1
1098.0	0	1	1
1099.0	0	3	3
1101.0	0	1	1
1103.0	0	3	3
1104.0	0	2	2
1105.0	0	1	1
1107.0	0	2	2
1109.0	0	3	3
1110.0	0	2	2
1111.0	0	2	2
1114.0	0	1	1
1115.0	0	3	3
1116.0	0	4	4
1118.0	0	1	1
1119.0	0	1	1
1120.0	0	3	3
1124.0	0	1	1
1126.0	0	2	2
1127.0	0	1	1
1129.0	0	1	1
1130.0	0	3	3
1131.0	0	1	1
1132.0	0	1	1
1133.0	0	1	1
1134.0	0	1	1
1135.0	0	5	5
1136.0	0	1	1
1138.0	0	1	1
1139.0	0	1	1
1141.0	0	4	4
1142.0	0	2	2
1144.0	0	1	1
1145.0	0	3	3
1146.0	0	1	1
1147.0	0	3	3
1148.0	0	3	3
1149.0	0	1	1
1150.0	0	1	1
1151.0	0	1	1
1152.0	0	4	4
1154.0	0	2	2
1155.0	0	1	1
1156.0	0	3	3
1157.0	0	1	1
1158.0	0	2	2
1159.0	0	1	1
1161.0	0	3	3
1162.0	0	1	1
1163.0	0	1	1
1165.0	0	1	1
1166.0	0	2	2
1167.0	0	3	3
1168.0	0	2	2
1169.0	0	1	1
1172.0	0	1	1
1173.0	0	4	4
1174.0	0	1	1
1176.0	0	2	2
1177.0	0	1	1
1178.0	0	2	2
1179.0	0	1	1
1180.0	0	1	1
1181.0	0	2	2
1182.0	0	1	1
1184.0	0	1	1
1185.0	0	1	1
1188.0	0	1	1
1189.0	0	2	2
